Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Day,Month,Year,Price_ln
Abbotsford,2,h,S,Biggin,2.5,3067.0,2.0,1.0,1.0,202.0,144.22205145826868,1970.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,3,12,2016,14.207552645740298
Abbotsford,2,h,S,Biggin,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,4,2,2016,13.849911984681606
Abbotsford,3,h,SP,Biggin,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,4,3,2017,14.197365800433305
Abbotsford,3,h,PI,Biggin,2.5,3067.0,3.0,2.0,1.0,94.0,144.22205145826868,1970.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,4,3,2017,13.652991628466498
Abbotsford,4,h,VB,Nelson,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,4,6,2016,14.28551418721001
Abbotsford,2,h,S,Jellis,2.5,3067.0,2.0,1.0,0.0,181.0,144.22205145826868,1970.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,7,5,2016,13.754698418567516
Abbotsford,3,h,S,Nelson,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,7,5,2016,14.444652408548308
Abbotsford,2,h,S,Nelson,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,8,10,2016,14.307764796144829
Abbotsford,1,u,S,Biggin,2.5,3067.0,1.0,1.0,1.0,0.0,144.22205145826868,1970.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,8,10,2016,12.611537753638338
Abbotsford,2,h,S,Biggin,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,8,10,2016,13.908089739257367
Abbotsford,2,u,VB,Jellis,2.5,3067.0,2.0,2.0,1.0,0.0,144.22205145826868,1970.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,12,11,2016,13.458835614025542
Abbotsford,3,h,VB,Nelson,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,12,11,2016,14.115615150414612
Abbotsford,2,u,S,Biggin,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,12,11,2016,13.527828485512494
Abbotsford,2,h,S,Biggin,2.5,3067.0,2.0,1.0,1.0,195.0,144.22205145826868,1970.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,13,8,2016,13.974648779302571
Abbotsford,1,u,SP,Greg,2.5,3067.0,1.0,1.0,1.0,0.0,144.22205145826868,1970.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,14,5,2016,12.996800154428984
Abbotsford,2,h,S,Jellis,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,15,10,2016,14.085537695177335
Abbotsford,3,h,S,Jellis,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,16,7,2016,13.997832114758229
Abbotsford,3,h,S,LITTLE,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,16,7,2016,13.978054487149555
Abbotsford,3,h,S,Collins,2.5,3067.0,3.0,1.0,0.0,183.0,144.22205145826868,1970.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,17,9,2016,13.769466619462868
Abbotsford,2,h,S,Biggin,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,17,9,2016,13.698976741708323
Abbotsford,4,h,PI,Kay,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,18,3,2017,14.100689500197937
Abbotsford,3,t,S,Beller,2.5,3067.0,3.0,2.0,2.0,0.0,144.22205145826868,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,18,3,2017,13.710150042306449
Abbotsford,3,u,S,Jellis,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1970.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,18,3,2017,13.901688254205327
Abbotsford,2,u,S,Collins,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,18,6,2016,13.122363377404328
